iter	RMSE
0	100.488914
1	96.59349971
2	93.04769051
3	89.38845754
4	86.1307674
5	82.93401524
6	79.94584089
7	77.10284116
8	74.3282514
9	71.80857308
10	69.52647478
11	67.34177098
12	65.02138959
13	63.11980582
14	61.04117148
15	59.20635845
16	57.46242722
17	55.82399898
18	54.39113736
19	52.8962817
20	51.54088552
21	50.18732816
22	49.26817272
23	48.15818634
24	47.05349727
25	46.01947851
26	44.9810112
27	43.99722239
28	43.07870705
29	42.27913899
30	41.5044227
31	40.80801781
32	40.11082713
33	39.53904402
34	38.90604467
35	38.34252295
36	37.8274132
37	37.33274801
38	36.80497272
39	36.34392831
40	35.92268247
41	35.53359972
42	35.15538785
43	34.80354043
44	34.47004813
45	34.19997082
46	33.86511778
47	33.55427562
48	33.2721489
49	32.97070589
50	32.7261273
51	32.5126001
52	32.318174
53	32.09612042
54	31.96488196
55	31.79724374
56	31.61478188
57	31.43862069
58	31.24230725
59	31.05012257
60	30.92331651
61	30.76200779
62	30.61915489
63	30.46799369
64	30.30828631
65	30.16429733
66	30.03395049
67	29.90789679
68	29.7579264
69	29.61605833
70	29.50463616
71	29.44043777
72	29.32907631
73	29.22825465
74	29.12497255
75	29.03854297
76	28.91597924
77	28.82744109
78	28.73868056
79	28.59245587
80	28.50782714
81	28.43211524
82	28.33429162
83	28.19117855
84	28.04719557
85	27.93233283
86	27.82757928
87	27.77628557
88	27.69463567
89	27.63367478
90	27.54788516
91	27.41907322
92	27.36974808
93	27.29723834
94	27.21073628
95	27.13537453
96	27.05487454
97	26.96912511
98	26.88943948
99	26.82417567
100	26.76493239
101	26.64140957
102	26.57558177
103	26.46944394
104	26.42873585
105	26.36940281
106	26.31895702
107	26.25292529
108	26.16813582
109	26.13286441
110	26.12011706
111	26.05935293
112	25.98618759
113	25.92508655
114	25.86376933
115	25.83488223
116	25.81720127
117	25.80749737
118	25.7376238
119	25.64309361
120	25.58001364
121	25.55924707
122	25.52859904
123	25.44386163
124	25.37397178
125	25.28180539
126	25.28087025
127	25.21278402
128	25.10928322
129	25.00600161
130	24.97340894
131	24.94527401
132	24.88117693
133	24.82613466
134	24.78909995
135	24.70875181
136	24.60618818
137	24.55736605
138	24.49570779
139	24.36769162
140	24.2385955
141	24.14750499
142	24.11203148
143	24.10150294
144	24.06562949
145	24.03306836
146	23.9733751
147	23.92455579
148	23.84314812
149	23.81582971
150	23.79429487
151	23.75828837
152	23.70957941
153	23.68428544
154	23.56036375
155	23.53280975
156	23.51058281
157	23.48400789
158	23.42721846
159	23.37397773
160	23.33253618
161	23.27270521
162	23.25452952
163	23.19967046
164	23.14443766
165	23.04645877
166	22.99131081
167	22.93543374
168	22.8916544
