iter	RMSE
169	22.84346074
170	22.80496438
171	22.76800949
172	22.69109983
173	22.62907144
174	22.59678075
175	22.52536827
176	22.47740783
177	22.4418474
178	22.42261662
179	22.34963487
180	22.29012475
181	22.23839618
182	22.21801014
183	22.19444668
184	22.1571215
185	22.13441708
186	22.0720343
187	22.0386029
188	21.99371253
189	21.92732568
190	21.83643518
191	21.78617443
192	21.69667819
193	21.660182
194	21.60193729
195	21.57545303
196	21.55084589
197	21.47829066
198	21.45615117
199	21.40351777
200	21.36097555
201	21.3082045
202	21.23872787
203	21.18707238
204	21.08926051
205	21.06333208
206	21.00922826
207	20.9889639
208	20.96802337
209	20.91342249
210	20.88969652
211	20.83324147
212	20.78247917
213	20.74387463
214	20.6899727
215	20.64883823
216	20.60346051
217	20.57063048
218	20.55657011
219	20.54736813
220	20.48642934
221	20.41275859
222	20.4037605
223	20.35257521
224	20.32700247
225	20.29380678
226	20.23334636
227	20.15335515
228	20.08403522
229	20.07060747
230	19.99419136
231	19.92819301
232	19.85394582
233	19.82648351
234	19.80500681
235	19.79353137
236	19.77760944
237	19.72715055
238	19.66077468
239	19.63210366
240	19.56926635
241	19.51203773
242	19.49292596
243	19.47763565
244	19.42768428
245	19.35260039
246	19.25936731
247	19.22460061
248	19.20883016
249	19.16157171
250	19.14406444
251	19.09090128
252	19.02912389
253	18.98557998
254	18.97692992
255	18.9150762
256	18.88801286
257	18.8666044
258	18.85698582
259	18.83808289
260	18.79133904
261	18.73337435
262	18.72577397
263	18.67238263
264	18.66369601
265	18.59367828
266	18.56212035
267	18.50496558
268	18.4467827
269	18.40012572
270	18.35758349
271	18.34489249
272	18.2871991
273	18.25464759
274	18.1760214
275	18.15817669
276	18.13739097
277	18.10698134
278	18.09079418
279	18.078543
280	18.03654619
281	17.9910744
282	17.95266361
283	17.91924777
284	17.8607955
285	17.81287092
286	17.80472647
287	17.77381145
288	17.73003061
289	17.7142134
290	17.64284925
291	17.59813172
292	17.59103204
293	17.54731583
294	17.51696295
295	17.5081289
296	17.46882174
297	17.42168236
298	17.37374356
299	17.36173264
300	17.30877519
301	17.29610969
302	17.25900874
303	17.238973
304	17.21887998
305	17.21089886
306	17.16978017
307	17.14914106
308	17.12222544
309	17.09325816
310	17.04563846
311	17.00506397
312	16.968659
313	16.90822786
314	16.86839236
315	16.82966686
316	16.81138725
317	16.80292937
318	16.76923144
319	16.72187132
320	16.70128135
321	16.65542836
322	16.6372772
323	16.619919
324	16.57806995
325	16.55721671
326	16.51976698
327	16.49856687
328	16.47167371
329	16.43528308
330	16.37810878
331	16.36713152
332	16.3226686
333	16.29060676
334	16.22666768
335	16.20331561
336	16.17200435
337	16.13423289
338	16.12811182
339	16.12057997
340	16.08470753
341	16.06012133
342	16.04159212
343	16.02455973
344	15.97628942
345	15.94015202
346	15.93572605
347	15.90444006
348	15.89615126
349	15.84314966
350	15.82949188
351	15.81539176
352	15.78313596
353	15.76622843
354	15.7157808
355	15.69061811
356	15.67583249
357	15.6445202
358	15.6115144
359	15.5572205
360	15.54949713
361	15.48417553
362	15.45670392
363	15.41299558
364	15.39102659
365	15.37742455
366	15.34990371
367	15.32131821
368	15.28627174
369	15.27849868
370	15.23174545
371	15.21977255
372	15.1852178
373	15.15100617
374	15.10852853
375	15.07188354
376	15.05099222
377	15.02381015
378	14.99822663
379	14.99478104
380	14.98454615
381	14.9460942
382	14.90284111
383	14.89838315
384	14.87963419
385	14.83930185
386	14.82222361
387	14.79531487
388	14.78912214
389	14.7686875
390	14.75445041
391	14.69663595
392	14.69605141
393	14.69292293
394	14.6834344
395	14.66105749
396	14.64615627
397	14.63461843
398	14.59583839
399	14.56916422
400	14.54201561
401	14.52809448
402	14.51964651
403	14.47471421
404	14.47126176
405	14.46237763
406	14.43891644
407	14.42118799
408	14.39830957
409	14.37134279
410	14.35452751
411	14.34374085
412	14.32474843
413	14.3014666
414	14.28114594
415	14.24608646
416	14.20262752
417	14.19936074
418	14.19327118
419	14.16768891
420	14.14887972
421	14.14129014
422	14.13350933
423	14.12997901
424	14.12752576
425	14.09299302
426	14.08491096
427	14.06797782
428	14.05626959
429	14.04407332
430	14.03030858
431	13.98880647
432	13.96630004
433	13.94956176
434	13.94316179
435	13.92374183
436	13.90915182
437	13.86458218
438	13.85382536
439	13.85094714
440	13.83939918
441	13.83483094
442	13.82931915
443	13.80618833
444	13.79382441
445	13.77570044
446	13.74705032
447	13.7416582
448	13.72947791
449	13.71511433
450	13.70662772
451	13.69326779
452	13.66948419
453	13.63601342
454	13.61596633
455	13.58832278
456	13.58238964
457	13.56779722
458	13.54683553
459	13.52733687
460	13.52256952
461	13.51822224
462	13.51555986
463	13.49363535
464	13.48036891
465	13.47729273
466	13.46898255
467	13.44704971
468	13.43256582
469	13.41547827
470	13.39443929
471	13.36656818
472	13.34082952
473	13.33460606
474	13.32832567
475	13.31426283
476	13.29117962
477	13.26316381
478	13.2434415
479	13.21446967
480	13.20065278
481	13.18211624
482	13.1600078
483	13.13392539
484	13.11610049
485	13.10971019
486	13.0864145
487	13.07074576
488	13.05690558
489	13.03721002
490	13.01950232
491	13.00341199
492	12.97839055
493	12.97228992
494	12.95112816
495	12.92684452
496	12.90856764
497	12.88952498
498	12.88180582
499	12.86249425
